Country,Region,Cause,year,month,fires_count,burned_area_ha,temperature_c,humidity_percent,wind_speed_kmh
Brazil,Mato Grosso,Lightning,1883,10,329,97479,45,14,20
Greece,Athens,Climate Change,1883,6,100,60260,18,20,25
Greece,Crete,Deforestation,1883,6,480,91107,34,28,13
Australia,New South Wales,Human,1883,6,167,35295,47,65,52
Australia,Victoria,Human,1883,7,105,97956,24,47,45
Portugal,Lisbon,Lightning,1883,9,401,86127,49,91,9
Portugal,Porto,Lightning,1883,9,414,15405,48,11,69
Italy,Sicily,Deforestation,1883,6,118,26192,43,40,22
Italy,Sardinia,Climate Change,1883,9,253,44525,23,28,65
Russia,Siberia,Unknown,1883,7,181,83142,32,28,24
Russia,Far East,Unknown,1883,10,228,61576,27,27,31
Canada,British Columbia,Unknown,1883,5,373,14497,39,90,14
Canada,Alberta,Unknown,1883,7,23,47380,26,65,20
France,Corsica,Unknown,1883,8,269,35370,28,56,17
France,Provence,Unknown,1883,9,73,89212,35,57,24
China,Yunnan,Climate Change,1883,5,43,84176,28,9,36
China,Sichuan,Lightning,1883,9,239,90030,26,13,59
India,Madhya Pradesh,Climate Change,1883,8,405,77152,23,54,28
India,Assam,Climate Change,1883,6,198,83560,33,12,66
Turkey,Mugla,Human,1884,10,149,57954,18,40,32
Turkey,Antalya,Deforestation,1884,7,449,26890,24,94,20
Turkey,Izmir,Climate Change,1884,10,455,86288,42,62,21
Spain,Catalonia,Human,1884,8,460,13216,15,7,63
Spain,Andalusia,Human,1884,5,195,99935,39,60,34
USA,California,Unknown,1884,10,121,67741,46,49,62
USA,Texas,Climate Change,1884,9,84,93145,25,40,20
USA,Oregon,Human,1884,8,445,71826,28,19,32
Brazil,Amazonas,Human,1884,5,377,68966,25,16,17
Brazil,Mato Grosso,Unknown,1884,10,464,24059,22,40,9
Greece,Athens,Unknown,1884,6,320,32021,42,45,65
Greece,Crete,Human,1884,7,451,38188,34,81,30
Australia,New South Wales,Lightning,1884,9,50,45545,19,51,26
Australia,Victoria,Lightning,1884,6,14,84891,19,37,66
Portugal,Lisbon,Lightning,1884,6,228,62392,39,90,60
Portugal,Porto,Human,1884,7,181,46640,48,5,22
Italy,Sicily,Climate Change,1884,10,480,18484,45,9,4
Italy,Sardinia,Climate Change,1884,9,27,23624,24,78,18
Russia,Siberia,Human,1884,9,82,38865,27,8,63
Russia,Far East,Lightning,1884,5,373,45643,42,76,40
Canada,British Columbia,Deforestation,1884,6,254,58117,26,69,55
Canada,Alberta,Deforestation,1884,8,393,24385,31,51,24
France,Corsica,Lightning,1884,9,345,77809,25,55,39
France,Provence,Lightning,1884,8,230,7049,48,86,31
China,Yunnan,Lightning,1884,7,439,61986,47,92,31
China,Sichuan,Climate Change,1884,6,55,43188,43,8,11
India,Madhya Pradesh,Unknown,1884,5,334,20063,38,73,35
India,Assam,Climate Change,1884,10,57,5669,25,27,56
Turkey,Mugla,Unknown,1885,7,378,22515,18,60,26
Turkey,Antalya,Climate Change,1885,7,356,33534,46,54,62
Turkey,Izmir,Climate Change,1885,6,55,24054,19,86,43
Spain,Catalonia,Human,1885,9,26,79352,19,16,47
Spain,Andalusia,Climate Change,1885,6,437,91965,41,77,27
USA,California,Deforestation,1885,5,51,5340,31,30,37
USA,Texas,Climate Change,1885,5,12,79814,29,51,57
USA,Oregon,Lightning,1885,10,18,28799,40,18,60
Brazil,Amazonas,Deforestation,1885,7,11,5222,32,42,16
Brazil,Mato Grosso,Lightning,1885,5,123,10367,31,90,45
Greece,Athens,Unknown,1885,5,149,3696,39,72,11
Greece,Crete,Unknown,1885,7,237,26834,36,38,9
Australia,New South Wales,Lightning,1885,5,240,72374,20,56,27
Australia,Victoria,Deforestation,1885,6,447,75803,20,37,54
Portugal,Lisbon,Unknown,1885,10,281,1705,44,79,63
Portugal,Porto,Human,1885,10,354,14018,17,35,41
Italy,Sicily,Lightning,1885,9,40,9211,34,79,5
Italy,Sardinia,Deforestation,1885,10,122,84571,16,83,9
Russia,Siberia,Unknown,1885,6,439,88336,19,74,27
Russia,Far East,Unknown,1885,10,328,92022,47,24,13
Canada,British Columbia,Climate Change,1885,5,94,78577,25,81,4
Canada,Alberta,Lightning,1885,5,394,59483,19,27,11
France,Corsica,Lightning,1885,8,390,5387,34,69,64
France,Provence,Human,1885,9,333,19316,25,19,25
China,Yunnan,Human,1885,10,423,93889,19,66,61
China,Sichuan,Deforestation,1885,8,438,67544,23,38,36
India,Madhya Pradesh,Unknown,1885,5,300,36259,43,76,12
India,Assam,Deforestation,1885,5,233,30623,35,41,6
Turkey,Mugla,Lightning,1886,7,383,177,18,93,43
Turkey,Antalya,Deforestation,1886,5,406,43403,47,27,64
Turkey,Izmir,Human,1886,5,157,67828,16,82,54
Spain,Catalonia,Deforestation,1886,7,43,67606,21,55,43
Spain,Andalusia,Human,1886,8,19,71424,44,31,37
USA,California,Human,1886,9,42,97820,41,59,34
USA,Texas,Lightning,1886,10,200,19129,24,9,39
USA,Oregon,Unknown,1886,9,163,29586,38,56,57
Brazil,Amazonas,Climate Change,1886,9,140,64872,18,80,46
Brazil,Mato Grosso,Deforestation,1886,6,415,16578,40,47,28
Greece,Athens,Lightning,1886,9,152,77934,20,76,24
Greece,Crete,Unknown,1886,6,306,90574,40,17,63
Australia,New South Wales,Unknown,1886,6,477,15428,26,72,6
Australia,Victoria,Lightning,1886,9,332,226,42,35,10
Portugal,Lisbon,Human,1886,10,55,44427,36,15,24
Portugal,Porto,Climate Change,1886,5,306,22216,40,40,55
Italy,Sicily,Deforestation,1886,5,5,53273,29,25,48
Italy,Sardinia,Lightning,1886,5,313,97516,40,45,36
Russia,Siberia,Lightning,1886,8,29,73609,21,86,35
Russia,Far East,Deforestation,1886,7,21,6883,38,29,53
Canada,British Columbia,Human,1886,10,348,46340,43,67,23
Canada,Alberta,Climate Change,1886,6,160,16341,21,85,50
France,Corsica,Unknown,1886,8,122,25017,21,5,14
France,Provence,Deforestation,1886,10,219,2582,33,66,33
China,Yunnan,Climate Change,1886,10,289,28052,43,34,17
China,Sichuan,Deforestation,1886,7,22,33636,16,42,52
India,Madhya Pradesh,Climate Change,1886,8,389,52587,17,36,11
India,Assam,Lightning,1886,6,471,75729,47,91,56
Turkey,Mugla,Climate Change,1887,8,292,85482,22,69,58
Turkey,Antalya,Deforestation,1887,7,476,30778,22,58,68
Turkey,Izmir,Lightning,1887,7,101,85695,49,92,33
Spain,Catalonia,Unknown,1887,10,495,12275,35,18,56
Spain,Andalusia,Human,1887,6,11,4525,37,89,20
USA,California,Climate Change,1887,9,407,13959,32,6,2
USA,Texas,Lightning,1887,9,408,85614,16,71,13
USA,Oregon,Human,1887,8,265,33672,48,57,45
Brazil,Amazonas,Human,1887,7,346,17871,24,34,60
Brazil,Mato Grosso,Human,1887,10,219,86243,31,18,10
Greece,Athens,Human,1887,6,241,99708,36,8,27
Greece,Crete,Lightning,1887,6,33,77008,37,41,19
Australia,New South Wales,Human,1887,9,46,38343,48,21,38
Australia,Victoria,Climate Change,1887,5,490,78511,36,89,28
Portugal,Lisbon,Deforestation,1887,5,291,82665,48,16,54
Portugal,Porto,Lightning,1887,6,177,11764,35,66,47
Italy,Sicily,Deforestation,1887,6,314,61220,40,33,22
Italy,Sardinia,Unknown,1887,7,300,89699,49,58,56
Russia,Siberia,Human,1887,10,410,89499,34,87,63
Russia,Far East,Lightning,1887,7,369,38990,23,30,67
Canada,British Columbia,Human,1887,9,77,15148,15,93,62
Canada,Alberta,Human,1887,7,108,55437,49,7,45
France,Corsica,Lightning,1887,7,482,20681,26,23,45
France,Provence,Human,1887,7,309,35872,24,61,56
China,Yunnan,Deforestation,1887,5,307,20591,22,25,26
China,Sichuan,Deforestation,1887,6,93,77554,40,30,48
India,Madhya Pradesh,Human,1887,6,20,70442,37,30,8
India,Assam,Human,1887,10,339,8920,22,63,40
Turkey,Mugla,Lightning,1888,7,406,17950,31,18,32
Turkey,Antalya,Climate Change,1888,7,112,96543,48,7,38
Turkey,Izmir,Unknown,1888,7,428,97341,29,8,26
Spain,Catalonia,Climate Change,1888,9,214,94323,16,59,43
Spain,Andalusia,Climate Change,1888,6,418,29530,27,22,33
USA,California,Unknown,1888,7,383,40074,43,66,63
USA,Texas,Unknown,1888,9,240,13084,24,34,26
USA,Oregon,Human,1888,8,393,10916,17,49,15
Brazil,Amazonas,Climate Change,1888,10,328,33013,39,52,66
Brazil,Mato Grosso,Human,1888,9,498,35500,38,72,13
Greece,Athens,Deforestation,1888,7,297,45128,20,43,57
Greece,Crete,Climate Change,1888,10,348,29857,48,29,53
Australia,New South Wales,Climate Change,1888,8,63,57079,24,61,42
Australia,Victoria,Climate Change,1888,5,263,14299,19,58,48
Portugal,Lisbon,Unknown,1888,5,13,76998,49,54,63
Portugal,Porto,Deforestation,1888,5,220,24678,27,93,69
Italy,Sicily,Human,1888,10,361,17774,17,33,10
Italy,Sardinia,Unknown,1888,7,413,88901,23,83,41
Russia,Siberia,Deforestation,1888,5,265,58862,48,92,39
Russia,Far East,Lightning,1888,7,393,70931,32,74,38
Canada,British Columbia,Unknown,1888,8,180,3120,19,81,41
Canada,Alberta,Deforestation,1888,9,228,2496,17,60,41
France,Corsica,Climate Change,1888,6,44,92208,47,10,20
France,Provence,Deforestation,1888,8,357,96926,27,49,54
China,Yunnan,Deforestation,1888,6,360,86306,21,9,46
China,Sichuan,Lightning,1888,6,253,49238,24,36,54
India,Madhya Pradesh,Unknown,1888,10,43,92341,16,82,13
India,Assam,Deforestation,1888,6,228,95856,31,64,65
Turkey,Mugla,Deforestation,1889,9,167,1107,44,75,64
Turkey,Antalya,Climate Change,1889,8,64,91457,43,26,69
Turkey,Izmir,Lightning,1889,8,356,45639,18,68,18
Spain,Catalonia,Lightning,1889,8,410,63988,15,26,51
Spain,Andalusia,Unknown,1889,10,196,24960,49,56,8
USA,California,Deforestation,1889,9,399,44164,25,62,27
USA,Texas,Climate Change,1889,6,434,13125,18,85,14
USA,Oregon,Climate Change,1889,5,43,68978,43,79,33
Brazil,Amazonas,Unknown,1889,6,179,78897,36,79,28
Brazil,Mato Grosso,Unknown,1889,7,341,44513,42,25,48
Greece,Athens,Deforestation,1889,9,447,53431,19,7,2
Greece,Crete,Lightning,1889,6,384,20082,49,68,26
Australia,New South Wales,Unknown,1889,8,278,38258,30,31,61
Australia,Victoria,Climate Change,1889,10,477,5876,22,83,28
Portugal,Lisbon,Deforestation,1889,10,54,30807,43,68,45
Portugal,Porto,Lightning,1889,9,28,44959,17,24,47
Italy,Sicily,Unknown,1889,5,226,11636,34,13,39
Italy,Sardinia,Climate Change,1889,5,448,5209,16,92,12
Russia,Siberia,Lightning,1889,9,213,26689,45,42,33
Russia,Far East,Human,1889,7,305,41788,22,15,52
Canada,British Columbia,Human,1889,5,405,39599,46,83,55
Canada,Alberta,Human,1889,10,96,48887,24,44,33
France,Corsica,Human,1889,6,357,49253,47,81,31
France,Provence,Lightning,1889,5,81,57085,40,50,16
China,Yunnan,Unknown,1889,6,110,9178,25,65,68
China,Sichuan,Human,1889,7,394,84076,45,36,42
India,Madhya Pradesh,Unknown,1889,6,208,26389,34,66,8
India,Assam,Unknown,1889,7,88,98611,20,62,23
Turkey,Mugla,Human,1890,6,387,98918,28,79,13
Turkey,Antalya,Climate Change,1890,8,401,1660,33,59,46
Turkey,Izmir,Deforestation,1890,9,123,2456,32,74,19
Spain,Catalonia,Human,1890,7,154,37512,17,32,36
Spain,Andalusia,Human,1890,9,97,16409,21,80,50
USA,California,Climate Change,1890,10,217,59421,38,24,38
USA,Texas,Unknown,1890,8,224,26063,38,54,50
USA,Oregon,Unknown,1890,7,100,65228,48,70,35
Brazil,Amazonas,Lightning,1890,8,266,45450,26,7,19
Brazil,Mato Grosso,Deforestation,1890,9,403,57156,40,12,43
Greece,Athens,Lightning,1890,8,18,88497,19,42,42
Greece,Crete,Human,1890,10,320,94688,34,6,18
Australia,New South Wales,Unknown,1890,7,349,92252,16,39,6
Australia,Victoria,Unknown,1890,5,428,86575,37,51,32
Portugal,Lisbon,Lightning,1890,7,14,44838,43,14,2
Portugal,Porto,Unknown,1890,9,280,79630,15,61,65
Italy,Sicily,Deforestation,1890,10,472,85212,26,41,50
Italy,Sardinia,Unknown,1890,5,124,26255,29,10,62
Russia,Siberia,Human,1890,8,374,81637,34,30,30
Russia,Far East,Climate Change,1890,5,123,1158,19,37,52
Canada,British Columbia,Climate Change,1890,10,16,41335,38,47,51
Canada,Alberta,Deforestation,1890,9,189,15498,37,48,39
France,Corsica,Climate Change,1890,8,155,23011,30,54,9
France,Provence,Climate Change,1890,6,345,23296,36,51,35
China,Yunnan,Deforestation,1890,5,315,15677,24,34,18
China,Sichuan,Human,1890,6,140,65938,26,76,47
India,Madhya Pradesh,Climate Change,1890,8,293,31990,19,94,63
India,Assam,Human,1890,8,454,17187,47,45,49
Turkey,Mugla,Human,1891,9,77,85250,25,72,5
Turkey,Antalya,Lightning,1891,10,23,65065,32,17,24
Turkey,Izmir,Human,1891,7,369,3812,35,19,66
Spain,Catalonia,Deforestation,1891,8,203,9208,43,93,34
Spain,Andalusia,Deforestation,1891,5,228,93780,40,15,67
USA,California,Lightning,1891,10,269,22712,22,52,67
USA,Texas,Climate Change,1891,10,416,31448,40,29,13
USA,Oregon,Climate Change,1891,9,486,53651,29,48,16
Brazil,Amazonas,Lightning,1891,7,436,27066,35,27,48
Brazil,Mato Grosso,Human,1891,9,128,39410,25,55,16
Greece,Athens,Lightning,1891,8,281,37750,28,72,53
Greece,Crete,Unknown,1891,10,31,42752,49,12,17
Australia,New South Wales,Lightning,1891,6,424,64257,16,53,5
Australia,Victoria,Deforestation,1891,6,349,86465,21,78,40
Portugal,Lisbon,Human,1891,9,163,3754,34,72,8
Portugal,Porto,Climate Change,1891,10,389,21775,27,26,22
Italy,Sicily,Lightning,1891,10,224,94188,23,19,11
Italy,Sardinia,Lightning,1891,6,125,75488,22,28,50
Russia,Siberia,Unknown,1891,6,351,34184,38,23,61
Russia,Far East,Deforestation,1891,6,349,65781,24,59,48
Canada,British Columbia,Human,1891,5,487,17733,35,85,23
Canada,Alberta,Unknown,1891,9,147,92678,21,36,12
France,Corsica,Climate Change,1891,6,461,27313,39,6,65
France,Provence,Lightning,1891,7,267,65208,17,46,40
China,Yunnan,Unknown,1891,5,245,55854,33,72,43
China,Sichuan,Climate Change,1891,9,498,12423,47,40,4
India,Madhya Pradesh,Deforestation,1891,5,140,54724,20,45,69
India,Assam,Lightning,1891,9,53,64415,19,48,28
Turkey,Mugla,Lightning,1892,9,268,56649,17,48,59
Turkey,Antalya,Lightning,1892,7,346,98217,37,48,3
Turkey,Izmir,Unknown,1892,10,213,9786,22,26,45
Spain,Catalonia,Climate Change,1892,6,40,42928,45,51,56
Spain,Andalusia,Human,1892,6,450,88833,30,16,18
USA,California,Deforestation,1892,8,140,39991,30,34,24
USA,Texas,Climate Change,1892,8,119,48331,34,69,31
USA,Oregon,Lightning,1892,9,88,86057,22,36,34
Brazil,Amazonas,Unknown,1892,9,276,10799,48,18,37
Brazil,Mato Grosso,Climate Change,1892,5,155,88277,16,89,3
Greece,Athens,Deforestation,1892,7,253,84516,17,56,63
Greece,Crete,Deforestation,1892,6,200,65077,36,47,16
Australia,New South Wales,Unknown,1892,10,320,64712,26,53,43
Australia,Victoria,Deforestation,1892,10,86,87568,44,92,31
Portugal,Lisbon,Unknown,1892,10,138,52390,28,77,16
Portugal,Porto,Deforestation,1892,9,167,6821,16,39,21
Italy,Sicily,Human,1892,6,260,94573,16,29,55
Italy,Sardinia,Human,1892,5,168,73922,30,58,53
Russia,Siberia,Human,1892,7,487,51212,27,12,22
Russia,Far East,Unknown,1892,6,456,17020,26,36,14
Canada,British Columbia,Unknown,1892,10,24,52288,20,36,44
Canada,Alberta,Deforestation,1892,10,134,92922,45,9,35
France,Corsica,Deforestation,1892,6,349,55777,45,60,10
France,Provence,Unknown,1892,7,153,71084,21,84,17
China,Yunnan,Unknown,1892,8,101,97639,31,56,53
China,Sichuan,Climate Change,1892,8,128,57109,49,11,28
India,Madhya Pradesh,Climate Change,1892,8,474,99953,36,9,56
India,Assam,Climate Change,1892,6,66,89918,29,25,11
Turkey,Mugla,Climate Change,1893,6,380,5642,15,17,54
Turkey,Antalya,Unknown,1893,6,489,53520,31,64,12
Turkey,Izmir,Lightning,1893,9,312,29400,18,38,53
Spain,Catalonia,Deforestation,1893,8,86,21323,43,56,30
Spain,Andalusia,Lightning,1893,10,46,55416,27,68,18
USA,California,Unknown,1893,5,429,64741,43,14,59
USA,Texas,Unknown,1893,8,236,91000,25,38,9
USA,Oregon,Human,1893,7,218,51499,29,21,61
Brazil,Amazonas,Unknown,1893,9,471,47784,15,91,9
Brazil,Mato Grosso,Deforestation,1893,9,204,61020,15,55,25
Greece,Athens,Climate Change,1893,7,156,76916,34,25,59
Greece,Crete,Unknown,1893,10,232,9966,29,87,8
Australia,New South Wales,Deforestation,1893,7,32,58006,19,9,9
Australia,Victoria,Unknown,1893,6,42,28370,31,12,26
Portugal,Lisbon,Lightning,1893,5,454,96818,17,53,37
Portugal,Porto,Human,1893,10,328,26289,39,66,11
Italy,Sicily,Deforestation,1893,9,168,25327,16,17,54
Italy,Sardinia,Lightning,1893,8,230,57966,29,21,41
Russia,Siberia,Human,1893,6,187,45100,28,93,23
Russia,Far East,Climate Change,1893,8,418,14391,46,55,47
Canada,British Columbia,Deforestation,1893,5,380,61432,46,43,13
Canada,Alberta,Climate Change,1893,5,435,56949,27,25,9
France,Corsica,Unknown,1893,10,364,55633,46,79,23
France,Provence,Unknown,1893,7,349,43641,43,17,3
China,Yunnan,Deforestation,1893,9,217,55831,45,83,24
China,Sichuan,Climate Change,1893,8,465,3854,47,60,4
India,Madhya Pradesh,Climate Change,1893,10,23,82042,44,43,26
India,Assam,Lightning,1893,9,115,88299,30,76,2
Turkey,Mugla,Human,1894,8,265,49766,18,68,11
Turkey,Antalya,Deforestation,1894,9,388,80202,41,70,42
Turkey,Izmir,Lightning,1894,9,397,84999,40,62,55
Spain,Catalonia,Human,1894,8,213,63537,48,57,21
Spain,Andalusia,Deforestation,1894,7,404,89922,18,8,21
USA,California,Deforestation,1894,6,28,66649,40,41,55
USA,Texas,Unknown,1894,9,206,92297,34,21,5
USA,Oregon,Climate Change,1894,9,18,69222,30,62,56
Brazil,Amazonas,Lightning,1894,8,392,36827,44,86,20
Brazil,Mato Grosso,Deforestation,1894,8,64,69026,36,28,31
Greece,Athens,Unknown,1894,6,490,13528,33,52,46
Greece,Crete,Human,1894,8,354,28954,47,22,64
Australia,New South Wales,Unknown,1894,8,117,84830,25,61,46
Australia,Victoria,Unknown,1894,5,405,45353,34,51,16
Portugal,Lisbon,Unknown,1894,10,51,84145,25,13,17
Portugal,Porto,Lightning,1894,9,65,8429,17,81,52
Italy,Sicily,Deforestation,1894,9,407,83469,40,73,65
Italy,Sardinia,Climate Change,1894,9,472,2196,24,68,6
Russia,Siberia,Unknown,1894,8,74,26301,49,5,25
Russia,Far East,Human,1894,5,104,42921,45,88,25
Canada,British Columbia,Unknown,1894,5,40,23352,44,90,8
Canada,Alberta,Lightning,1894,7,443,19775,30,20,55
France,Corsica,Unknown,1894,6,221,33072,23,49,57
France,Provence,Lightning,1894,7,88,40885,35,72,51
China,Yunnan,Lightning,1894,5,479,97898,46,79,21
China,Sichuan,Unknown,1894,9,430,77565,28,61,38
India,Madhya Pradesh,Deforestation,1894,6,25,28328,37,94,38
India,Assam,Human,1894,5,407,57814,35,16,62
Turkey,Mugla,Climate Change,1895,5,165,7445,18,75,34
Turkey,Antalya,Climate Change,1895,5,156,97952,48,32,59
Turkey,Izmir,Human,1895,7,173,55818,31,74,66
Spain,Catalonia,Human,1895,6,345,83557,16,78,17
Spain,Andalusia,Unknown,1895,7,129,69386,38,44,39
USA,California,Deforestation,1895,8,63,48877,46,11,22
USA,Texas,Unknown,1895,8,158,63970,36,19,15
USA,Oregon,Lightning,1895,7,385,27724,42,30,64
Brazil,Amazonas,Deforestation,1895,6,413,22363,22,48,43
Brazil,Mato Grosso,Unknown,1895,8,231,21353,37,93,51
Greece,Athens,Deforestation,1895,7,407,6952,25,16,9
Greece,Crete,Unknown,1895,8,480,21900,35,76,56
Australia,New South Wales,Lightning,1895,5,51,40946,34,74,13
Australia,Victoria,Deforestation,1895,6,267,37811,17,31,41
Portugal,Lisbon,Climate Change,1895,10,421,85220,46,52,5
Portugal,Porto,Deforestation,1895,10,458,55761,46,13,13
Italy,Sicily,Climate Change,1895,7,306,54500,35,34,14
Italy,Sardinia,Lightning,1895,6,264,33791,45,63,28
Russia,Siberia,Human,1895,9,29,55526,18,29,21
Russia,Far East,Deforestation,1895,6,158,88808,42,13,51
Canada,British Columbia,Human,1895,10,215,81935,25,70,48
Canada,Alberta,Climate Change,1895,8,368,18988,38,90,4
France,Corsica,Lightning,1895,8,480,59265,35,32,63
France,Provence,Unknown,1895,5,473,59142,48,45,52
China,Yunnan,Human,1895,6,318,33966,37,52,23
China,Sichuan,Deforestation,1895,5,329,56015,44,19,36
India,Madhya Pradesh,Lightning,1895,5,216,27616,16,44,29
India,Assam,Unknown,1895,10,205,38647,15,76,64
Turkey,Mugla,Human,1896,7,8,98845,29,67,22
Turkey,Antalya,Climate Change,1896,7,317,93912,28,80,18
Turkey,Izmir,Climate Change,1896,5,359,51039,29,86,7
Spain,Catalonia,Deforestation,1896,7,223,68090,41,50,39
Spain,Andalusia,Deforestation,1896,10,104,86616,33,34,26
USA,California,Human,1896,10,158,34618,33,55,4
USA,Texas,Unknown,1896,6,279,24364,34,49,64
USA,Oregon,Human,1896,5,255,14047,33,51,15
Brazil,Amazonas,Unknown,1896,10,441,79776,31,34,10
Brazil,Mato Grosso,Human,1896,5,380,64407,28,79,54
Greece,Athens,Human,1896,7,493,98334,18,72,9
Greece,Crete,Human,1896,6,365,89809,30,66,49
Australia,New South Wales,Deforestation,1896,10,272,54406,35,25,49
Australia,Victoria,Unknown,1896,8,361,43046,47,77,62
Portugal,Lisbon,Human,1896,5,328,91270,48,92,66
Portugal,Porto,Unknown,1896,9,347,32274,26,50,48
Italy,Sicily,Unknown,1896,5,151,26749,43,26,22
Italy,Sardinia,Human,1896,7,42,96119,43,55,5
Russia,Siberia,Unknown,1896,8,32,99175,17,90,67
Russia,Far East,Human,1896,6,351,11290,15,76,39
Canada,British Columbia,Human,1896,10,218,94005,26,10,28
Canada,Alberta,Human,1896,7,384,29133,43,44,15
France,Corsica,Unknown,1896,7,436,56144,27,65,50
France,Provence,Deforestation,1896,10,373,58657,34,94,40
China,Yunnan,Lightning,1896,9,249,17187,23,92,38
China,Sichuan,Climate Change,1896,5,45,33723,27,68,12
India,Madhya Pradesh,Climate Change,1896,10,151,21486,15,44,20
India,Assam,Climate Change,1896,8,76,78379,26,65,34
Turkey,Mugla,Unknown,1897,9,94,55498,19,12,26
Turkey,Antalya,Climate Change,1897,7,178,79290,37,53,48
Turkey,Izmir,Lightning,1897,8,342,46837,18,37,37
Spain,Catalonia,Unknown,1897,6,489,98038,34,80,16
Spain,Andalusia,Climate Change,1897,5,427,71525,24,70,52
USA,California,Lightning,1897,7,465,74737,23,43,29
USA,Texas,Climate Change,1897,7,88,60158,16,42,4
USA,Oregon,Human,1897,10,300,22885,26,39,66
Brazil,Amazonas,Climate Change,1897,9,467,31805,35,66,50
Brazil,Mato Grosso,Human,1897,5,283,50683,42,25,55
Greece,Athens,Human,1897,7,150,36368,44,64,33
Greece,Crete,Unknown,1897,7,199,79103,29,45,64
Australia,New South Wales,Lightning,1897,7,52,47875,47,28,40
Australia,Victoria,Climate Change,1897,6,444,40703,21,72,38
Portugal,Lisbon,Unknown,1897,5,197,84626,33,33,61
Portugal,Porto,Deforestation,1897,6,480,44114,25,53,39
